hour,day_of_week,weather_score,event_impact,historical_avg,traffic_level
13,2,0.7,0.0,0.269,0.251
13,2,0.7,0.0,0.892,0.664
14,2,0.7,0.0,0.681,0.534
14,2,0.7,0.0,0.549,0.383
14,2,1.0,0.0,0.38,0.431
14,2,0.7,0.0,0.729,0.463
14,2,1.0,0.0,0.294,0.345
14,2,1.0,0.0,0.886,0.887
15,2,0.7,0.0,0.68,0.458
15,2,0.7,0.0,0.574,0.38
15,2,0.7,0.0,0.361,0.202
15,2,0.7,0.0,0.713,0.42
15,2,0.7,0.0,0.271,0.171
15,2,0.7,0.0,0.881,0.629
16,2,0.7,0.0,0.717,0.477
16,2,0.7,0.0,0.555,0.309
16,2,1.0,0.0,0.365,0.294
16,2,0.7,0.0,0.678,0.502
16,2,1.0,0.0,0.276,0.347
16,2,0.7,0.0,0.866,0.512
17,2,1.0,0.0,0.69,1.0
17,2,1.0,0.0,0.55,1.0
17,2,0.7,0.0,0.356,0.725
17,2,1.0,0.0,0.694,1.0
17,2,1.0,0.0,0.322,0.797
17,2,0.7,0.0,0.897,1.0
18,2,0.7,0.0,0.694,1.0
18,2,1.0,0.0,0.528,1.0
18,2,0.7,0.0,0.371,0.886
18,2,1.0,0.0,0.682,1.0
18,2,1.0,0.0,0.315,1.0
18,2,1.0,0.0,0.912,1.0
19,2,1.0,0.0,0.705,1.0
19,2,0.7,0.0,0.549,1.0
19,2,1.0,0.0,0.354,1.0
19,2,1.0,0.0,0.724,1.0
19,2,1.0,0.0,0.255,0.741
19,2,1.0,0.0,0.915,1.0
20,2,0.7,0.0,0.701,0.845
20,2,1.0,0.0,0.522,1.0
20,2,0.7,0.0,0.364,0.51
20,2,0.7,0.0,0.691,0.978
20,2,1.0,0.0,0.31,0.442
20,2,1.0,0.0,0.866,1.0
21,2,1.0,0.0,0.727,0.677
21,2,0.7,0.0,0.554,0.316
21,2,1.0,0.0,0.373,0.363
21,2,1.0,0.0,0.696,0.66
21,2,0.7,0.0,0.263,0.197
21,2,1.0,0.0,0.854,0.757
22,2,1.0,0.0,0.736,0.52
22,2,0.7,0.0,0.567,0.337
22,2,1.0,0.0,0.33,0.339
22,2,1.0,0.0,0.709,0.625
22,2,0.7,0.3,0.268,0.489
22,2,0.7,0.0,0.902,0.562
23,2,1.0,0.0,0.655,0.119
23,2,0.7,0.0,0.516,0.005
23,2,1.0,0.0,0.358,0.146
23,2,1.0,0.0,0.704,0.092
23,2,1.0,0.0,0.281,0.047
23,2,1.0,0.0,0.901,0.149
0,3,1.0,0.0,0.697,0.013
0,3,1.0,0.0,0.554,0.116
0,3,1.0,0.0,0.367,0.081
0,3,1.0,0.0,0.716,0.063
0,3,1.0,0.0,0.298,0.0
0,3,0.7,0.0,0.873,0.052
1,3,1.0,0.0,0.714,0.029
1,3,1.0,0.0,0.573,0.024
1,3,1.0,0.0,0.329,0.0
1,3,0.7,0.0,0.687,0.026
1,3,0.7,0.0,0.302,0.0
1,3,1.0,0.0,0.895,0.15
2,3,0.7,0.0,0.734,0.129
2,3,0.7,0.0,0.568,0.019
2,3,1.0,0.0,0.341,0.016
2,3,1.0,0.0,0.672,0.12
2,3,1.0,0.0,0.31,0.068
2,3,0.7,0.0,0.918,0.083
3,3,0.7,0.0,0.685,0.0
3,3,1.0,0.0,0.537,0.106
3,3,1.0,0.0,0.382,0.083
3,3,1.0,0.0,0.705,0.096
3,3,1.0,0.0,0.288,0.023
3,3,1.0,0.0,0.925,0.133
4,3,0.7,0.0,0.673,0.197
4,3,0.7,0.0,0.524,0.168
4,3,1.0,0.0,0.354,0.079
4,3,0.7,0.0,0.74,0.051
4,3,1.0,0.0,0.308,0.09
4,3,0.7,0.0,0.88,0.15
5,3,1.0,0.0,0.698,0.201
5,3,0.7,0.0,0.567,0.069
5,3,0.7,0.0,0.377,0.102
5,3,0.7,0.0,0.731,0.121
5,3,0.7,0.0,0.288,0.0
5,3,0.7,0.0,0.834,0.131
6,3,1.0,0.0,0.701,1.0
6,3,0.7,0.0,0.562,0.732
6,3,1.0,0.0,0.351,0.616
6,3,0.7,0.0,0.715,0.937
6,3,1.0,0.0,0.306,0.566
6,3,0.7,0.0,0.89,1.0
7,3,1.0,0.0,0.706,0.993
7,3,1.0,0.0,0.535,0.686
7,3,1.0,0.0,0.353,0.507
7,3,1.0,0.0,0.704,0.929
7,3,0.7,0.0,0.255,0.253
7,3,1.0,0.0,0.853,1.0
8,3,1.0,0.0,0.693,1.0
8,3,1.0,0.0,0.513,0.904
8,3,1.0,0.0,0.372,0.552
8,3,1.0,0.0,0.725,1.0
8,3,0.7,0.0,0.253,0.38
8,3,0.7,0.0,0.905,0.924
9,3,1.0,0.0,0.676,0.936
9,3,1.0,0.0,0.562,0.798
9,3,0.7,0.0,0.406,0.323
9,3,1.0,0.0,0.698,0.919
9,3,0.7,0.0,0.286,0.304
9,3,1.0,0.0,0.889,1.0
10,3,1.0,0.0,0.681,0.769
10,3,0.7,0.0,0.583,0.356
10,3,1.0,0.0,0.372,0.378
10,3,1.0,0.0,0.726,0.769
10,3,0.7,0.0,0.273,0.22
10,3,1.0,0.0,0.89,0.912
11,3,1.0,0.0,0.677,0.758
11,3,1.0,0.0,0.547,0.535
11,3,1.0,0.0,0.348,0.443
11,3,1.0,0.0,0.722,0.781
11,3,1.0,0.0,0.334,0.162
11,3,0.7,0.0,0.931,0.666
12,3,1.0,0.0,0.708,0.808
12,3,0.7,0.0,0.539,0.38
12,3,1.0,0.0,0.392,0.409
12,3,1.0,0.0,0.698,0.721
12,3,0.7,0.0,0.294,0.191
12,3,1.0,0.0,0.909,0.979
13,3,0.7,0.0,0.703,0.57
13,3,0.7,0.0,0.531,0.378
13,3,1.0,0.0,0.37,0.388
13,3,1.0,0.0,0.71,0.843
13,3,0.7,0.0,0.332,0.281
13,3,0.7,0.0,0.915,0.673
14,3,1.0,0.0,0.735,0.798
14,3,0.7,0.0,0.524,0.389
14,3,0.7,0.0,0.333,0.292
14,3,1.0,0.0,0.678,0.831
14,3,1.0,0.0,0.287,0.281
14,3,1.0,0.0,0.854,0.976
15,3,0.7,0.0,0.714,0.544
15,3,1.0,0.0,0.547,0.603
15,3,1.0,0.0,0.361,0.37
15,3,1.0,0.0,0.675,0.66
15,3,0.7,0.0,0.245,0.146
15,3,1.0,0.0,0.88,0.883
16,3,1.0,0.0,0.722,0.689
16,3,0.7,0.0,0.544,0.393
16,3,1.0,0.0,0.381,0.374
16,3,1.0,0.0,0.696,0.669
16,3,1.0,0.0,0.299,0.299
16,3,1.0,0.0,0.879,0.86
17,3,1.0,0.0,0.732,1.0
17,3,0.7,0.0,0.538,1.0
17,3,1.0,0.0,0.388,1.0
17,3,1.0,0.0,0.698,1.0
17,3,1.0,0.0,0.236,0.767
17,3,0.7,0.0,0.886,1.0
18,3,0.7,0.0,0.714,1.0
18,3,0.7,0.0,0.526,1.0
18,3,0.7,0.0,0.332,0.794
18,3,1.0,0.0,0.723,1.0
18,3,1.0,0.0,0.276,1.0
18,3,1.0,0.0,0.867,1.0
19,3,0.7,0.0,0.706,1.0
19,3,0.7,0.4,0.525,1.0
19,3,1.0,0.0,0.379,1.0
19,3,0.7,0.4,0.687,1.0
19,3,1.0,0.0,0.299,0.858
19,3,1.0,0.0,0.901,1.0
20,3,1.0,0.0,0.723,1.0
20,3,0.7,0.0,0.505,0.708
20,3,1.0,0.0,0.359,0.716
20,3,1.0,0.0,0.708,1.0
20,3,1.0,0.0,0.311,0.608
20,3,0.7,0.0,0.869,1.0
21,3,1.0,0.0,0.736,0.646
21,3,1.0,0.0,0.552,0.527
21,3,1.0,0.0,0.347,0.317
21,3,1.0,0.0,0.711,0.57
21,3,1.0,0.6,0.301,0.819
21,3,1.0,0.0,0.875,0.828
22,3,1.0,0.0,0.721,0.635
22,3,1.0,0.6,0.57,1.0
22,3,1.0,0.0,0.368,0.296
22,3,1.0,0.0,0.714,0.675
22,3,0.7,0.0,0.279,0.171
22,3,1.0,0.0,0.878,0.727
23,3,1.0,0.0,0.714,0.092
23,3,1.0,0.0,0.566,0.05
23,3,1.0,0.0,0.38,0.025
23,3,0.7,0.0,0.691,0.092
23,3,1.0,0.0,0.285,0.0
23,3,1.0,0.0,0.907,0.174
0,4,0.7,0.0,0.698,0.103
0,4,0.7,0.0,0.53,0.041
0,4,0.7,0.0,0.344,0.0
0,4,0.7,0.0,0.691,0.005
0,4,1.0,0.0,0.336,0.0
0,4,1.0,0.0,0.866,0.118
1,4,1.0,0.0,0.705,0.101
1,4,1.0,0.0,0.563,0.104
1,4,1.0,0.0,0.366,0.117
1,4,0.7,0.0,0.683,0.04
1,4,1.0,0.0,0.298,0.027
1,4,1.0,0.0,0.88,0.158
2,4,1.0,0.0,0.691,0.161
2,4,0.7,0.0,0.566,0.16
2,4,1.0,0.0,0.378,0.107
2,4,1.0,0.0,0.694,0.065
2,4,1.0,0.0,0.292,0.0
2,4,1.0,0.0,0.891,0.094
3,4,1.0,0.3,0.706,0.507
3,4,0.7,0.0,0.571,0.072
3,4,1.0,0.0,0.32,0.051
3,4,1.0,0.0,0.695,0.102
3,4,1.0,0.0,0.313,0.0
3,4,1.0,0.0,0.906,0.085
4,4,0.7,0.0,0.718,0.103
4,4,1.0,0.0,0.548,0.165
4,4,1.0,0.0,0.378,0.12
4,4,0.7,0.0,0.719,0.011
4,4,0.7,0.0,0.296,0.051
4,4,0.7,0.0,0.904,0.132
5,4,0.7,0.0,0.704,0.096
5,4,0.7,0.0,0.523,0.022
5,4,0.7,0.0,0.369,0.115
5,4,0.7,0.0,0.725,0.095
5,4,1.0,0.0,0.301,0.061
5,4,1.0,0.0,0.845,0.221
6,4,1.0,0.0,0.728,1.0
6,4,1.0,0.0,0.528,0.926
6,4,1.0,0.0,0.398,0.631
6,4,1.0,0.0,0.701,1.0
6,4,0.7,0.0,0.286,0.277
6,4,1.0,0.0,0.867,1.0
7,4,1.0,0.0,0.715,0.919
7,4,0.7,0.0,0.545,0.557
7,4,1.0,0.0,0.334,0.446
7,4,1.0,0.0,0.72,0.848
7,4,1.0,0.6,0.291,0.956
7,4,0.7,0.0,0.864,0.802
8,4,1.0,0.0,0.704,1.0
8,4,0.7,0.0,0.573,0.556
8,4,1.0,0.0,0.37,0.631
8,4,1.0,0.0,0.704,1.0
8,4,0.7,0.0,0.29,0.295
8,4,0.7,0.0,0.891,1.0
9,4,1.0,0.0,0.689,0.982
9,4,1.0,0.0,0.561,0.716
9,4,1.0,0.0,0.387,0.535
9,4,1.0,0.0,0.718,0.916
9,4,0.7,0.0,0.284,0.24
9,4,1.0,0.0,0.87,1.0
10,4,1.0,0.0,0.702,0.69
10,4,1.0,0.0,0.537,0.549
10,4,0.7,0.0,0.359,0.287
10,4,0.7,0.0,0.709,0.558
10,4,1.0,0.0,0.265,0.214
10,4,1.0,0.0,0.892,0.928
11,4,1.0,0.0,0.693,0.9
11,4,0.7,0.0,0.549,0.44
11,4,1.0,0.0,0.404,0.527
11,4,1.0,0.0,0.672,1.0
11,4,0.7,0.0,0.29,0.315
11,4,0.7,0.0,0.875,0.83
12,4,1.0,0.0,0.701,1.0
12,4,1.0,0.0,0.572,0.747
12,4,1.0,0.0,0.37,0.517
12,4,1.0,0.0,0.699,0.991
12,4,1.0,0.0,0.229,0.44
12,4,1.0,0.3,0.901,1.0
13,4,1.0,0.0,0.719,1.0
13,4,0.7,0.3,0.555,0.92
13,4,0.7,0.0,0.373,0.351
13,4,1.0,0.0,0.723,1.0
13,4,0.7,0.0,0.285,0.269
13,4,1.0,0.0,0.886,1.0
14,4,0.7,0.0,0.687,0.62
14,4,0.7,0.0,0.541,0.585
14,4,1.0,0.0,0.37,0.523
14,4,1.0,0.0,0.706,0.85
14,4,1.0,0.0,0.269,0.451
14,4,1.0,0.0,0.872,1.0
15,4,0.7,0.0,0.705,0.464
15,4,1.0,0.3,0.548,0.826
15,4,1.0,0.0,0.358,0.33
15,4,1.0,0.0,0.706,0.713
15,4,1.0,0.0,0.276,0.3
15,4,1.0,0.0,0.907,0.927
16,4,1.0,0.0,0.696,0.691
16,4,1.0,0.0,0.557,0.56
16,4,1.0,0.0,0.362,0.35
16,4,1.0,0.0,0.679,0.753
16,4,1.0,0.0,0.304,0.219
16,4,0.7,0.0,0.915,0.576
17,4,1.0,0.0,0.699,1.0
17,4,0.7,0.0,0.525,1.0
17,4,1.0,0.0,0.359,1.0
17,4,1.0,0.0,0.716,1.0
17,4,1.0,0.0,0.3,0.829
17,4,0.7,0.3,0.913,1.0
18,4,1.0,0.3,0.703,1.0
18,4,1.0,0.0,0.574,1.0
18,4,1.0,0.0,0.332,1.0
18,4,1.0,0.0,0.707,1.0
18,4,1.0,0.0,0.282,0.955
18,4,1.0,0.0,0.905,1.0
19,4,1.0,0.0,0.711,1.0
19,4,1.0,0.0,0.586,1.0
19,4,0.7,0.0,0.365,0.802
19,4,0.7,0.0,0.733,1.0
19,4,0.7,0.0,0.3,0.533
19,4,1.0,0.0,0.891,1.0
20,4,1.0,0.0,0.702,1.0
20,4,1.0,0.0,0.519,1.0
20,4,1.0,0.0,0.364,0.711
20,4,0.7,0.0,0.714,0.917
20,4,1.0,0.0,0.287,0.553
20,4,1.0,0.0,0.878,1.0
21,4,1.0,0.4,0.69,1.0
21,4,1.0,0.0,0.56,0.455
21,4,1.0,0.0,0.345,0.328
21,4,0.7,0.4,0.716,0.821
21,4,1.0,0.0,0.29,0.339
21,4,0.7,0.0,0.9,0.545
22,4,1.0,0.0,0.709,0.562
22,4,1.0,0.0,0.548,0.354
22,4,1.0,0.0,0.388,0.358
22,4,0.7,0.0,0.7,0.412
22,4,0.7,0.3,0.289,0.445
22,4,1.0,0.0,0.859,0.818
23,4,1.0,0.0,0.714,0.152
23,4,1.0,0.0,0.573,0.027
23,4,1.0,0.0,0.353,0.076
23,4,1.0,0.4,0.682,0.551
23,4,0.7,0.0,0.308,0.086
23,4,1.0,0.0,0.87,0.157
0,5,1.0,0.0,0.44,0.109
0,5,1.0,0.0,0.453,0.11
0,5,0.7,0.3,0.337,0.332
0,5,1.0,0.0,0.268,0.039
0,5,1.0,0.0,0.196,0.0
0,5,0.7,0.0,0.277,0.091
1,5,1.0,0.0,0.408,0.062
1,5,1.0,0.0,0.466,0.031
1,5,1.0,0.0,0.325,0.017
1,5,1.0,0.0,0.254,0.025
1,5,0.7,0.0,0.203,0.0
1,5,0.7,0.0,0.246,0.0
2,5,0.7,0.0,0.395,0.093
2,5,1.0,0.0,0.43,0.068
2,5,1.0,0.0,0.348,0.118
2,5,1.0,0.0,0.288,0.078
2,5,1.0,0.0,0.196,0.029
2,5,1.0,0.0,0.244,0.065
3,5,0.7,0.0,0.425,0.081
3,5,0.7,0.6,0.463,0.736
3,5,0.7,0.0,0.339,0.06
3,5,0.7,0.0,0.266,0.019
3,5,1.0,0.0,0.211,0.059
3,5,1.0,0.0,0.282,0.097
4,5,0.7,0.0,0.427,0.0
4,5,1.0,0.0,0.449,0.0
4,5,1.0,0.0,0.293,0.038
4,5,1.0,0.0,0.31,0.007
4,5,0.7,0.0,0.181,0.053
4,5,1.0,0.0,0.248,0.001
5,5,1.0,0.0,0.441,0.038
5,5,1.0,0.0,0.419,0.082
5,5,1.0,0.0,0.331,0.066
5,5,1.0,0.0,0.262,0.083
5,5,0.7,0.3,0.236,0.325
5,5,0.7,0.0,0.239,0.0
6,5,0.7,0.0,0.41,0.294
6,5,0.7,0.0,0.398,0.296
6,5,1.0,0.0,0.328,0.272
6,5,1.0,0.0,0.286,0.3
6,5,1.0,0.0,0.197,0.291
6,5,0.7,0.0,0.242,0.359
7,5,1.0,0.6,0.456,1.0
7,5,1.0,0.0,0.423,0.774
7,5,1.0,0.0,0.327,0.501
7,5,1.0,0.0,0.236,0.506
7,5,1.0,0.0,0.192,0.393
7,5,1.0,0.0,0.241,0.405
8,5,1.0,0.0,0.447,0.888
8,5,1.0,0.0,0.435,0.862
8,5,1.0,0.0,0.357,0.679
8,5,1.0,0.0,0.264,0.582
8,5,1.0,0.0,0.211,0.418
8,5,1.0,0.0,0.283,0.539
9,5,1.0,0.0,0.408,0.657
9,5,1.0,0.0,0.454,0.724
9,5,0.7,0.0,0.349,0.407
9,5,1.0,0.0,0.292,0.475
9,5,1.0,0.0,0.174,0.358
9,5,0.7,0.0,0.276,0.273
10,5,0.7,0.0,0.39,0.392
10,5,0.7,0.0,0.45,0.371
10,5,1.0,0.0,0.297,0.44
10,5,0.7,0.0,0.293,0.288
10,5,1.0,0.0,0.197,0.205
10,5,0.7,0.0,0.238,0.289
11,5,0.7,0.0,0.443,0.386
11,5,1.0,0.0,0.436,0.549
11,5,1.0,0.0,0.3,0.433
11,5,1.0,0.0,0.299,0.381
11,5,1.0,0.0,0.231,0.198
11,5,1.0,0.0,0.291,0.38
12,5,0.7,0.0,0.404,0.432
12,5,1.0,0.0,0.453,0.675
12,5,1.0,0.0,0.322,0.323
12,5,0.7,0.0,0.312,0.357
12,5,1.0,0.0,0.186,0.286
12,5,1.0,0.0,0.249,0.394
13,5,0.7,0.0,0.438,0.439
13,5,1.0,0.0,0.432,0.603
13,5,1.0,0.0,0.313,0.464
13,5,0.7,0.0,0.275,0.259
13,5,0.7,0.0,0.211,0.201
13,5,0.7,0.0,0.258,0.243
14,5,0.7,0.0,0.41,0.434
14,5,0.7,0.0,0.419,0.417
14,5,1.0,0.0,0.382,0.459
14,5,0.7,0.0,0.264,0.265
14,5,1.0,0.0,0.195,0.363
14,5,1.0,0.0,0.226,0.382
15,5,1.0,0.0,0.393,0.522
15,5,1.0,0.0,0.428,0.59
15,5,1.0,0.0,0.322,0.397
15,5,1.0,0.0,0.278,0.461
15,5,0.7,0.0,0.18,0.187
15,5,0.7,0.0,0.281,0.203
16,5,1.0,0.0,0.411,0.603
16,5,1.0,0.0,0.445,0.534
16,5,1.0,0.0,0.31,0.38
16,5,0.7,0.0,0.29,0.221
16,5,1.0,0.0,0.188,0.212
16,5,0.7,0.0,0.274,0.208
17,5,1.0,0.0,0.449,0.701
17,5,1.0,0.0,0.393,0.759
17,5,1.0,0.0,0.363,0.462
17,5,1.0,0.0,0.287,0.456
17,5,1.0,0.0,0.227,0.326
17,5,1.0,0.0,0.302,0.491
18,5,1.0,0.0,0.447,0.895
18,5,1.0,0.0,0.441,0.925
18,5,1.0,0.0,0.319,0.736
18,5,1.0,0.0,0.31,0.637
18,5,1.0,0.0,0.194,0.344
18,5,1.0,0.0,0.261,0.591
19,5,0.7,0.0,0.361,0.511
19,5,0.7,0.0,0.466,0.547
19,5,1.0,0.0,0.363,0.516
19,5,1.0,0.0,0.259,0.539
19,5,0.7,0.0,0.196,0.304
19,5,0.7,0.0,0.263,0.223
20,5,1.0,0.0,0.423,0.571
20,5,1.0,0.0,0.461,0.556
20,5,1.0,0.0,0.33,0.403
20,5,1.0,0.0,0.293,0.426
20,5,0.7,0.0,0.177,0.189
20,5,0.7,0.0,0.247,0.135
21,5,0.7,0.0,0.394,0.359
21,5,0.7,0.0,0.462,0.338
21,5,1.0,0.0,0.271,0.292
21,5,1.0,0.0,0.304,0.295
21,5,1.0,0.0,0.211,0.236
21,5,1.0,0.4,0.245,0.72
22,5,1.0,0.0,0.417,0.42
22,5,1.0,0.0,0.395,0.52
22,5,1.0,0.0,0.314,0.296
22,5,0.7,0.0,0.285,0.191
22,5,1.0,0.0,0.191,0.219
22,5,0.7,0.0,0.265,0.294
23,5,0.7,0.0,0.45,0.133
23,5,1.0,0.0,0.447,0.107
23,5,1.0,0.0,0.324,0.078
23,5,1.0,0.0,0.296,0.0
23,5,0.7,0.4,0.188,0.492
23,5,1.0,0.0,0.282,0.004
0,6,0.7,0.0,0.398,0.087
0,6,1.0,0.0,0.411,0.044
0,6,1.0,0.0,0.335,0.007
0,6,0.7,0.0,0.274,0.052
0,6,1.0,0.0,0.2,0.025
0,6,0.7,0.0,0.294,0.0
1,6,1.0,0.0,0.437,0.08
1,6,0.7,0.0,0.421,0.017
1,6,1.0,0.0,0.313,0.1
1,6,1.0,0.0,0.283,0.0
1,6,1.0,0.0,0.175,0.0
1,6,1.0,0.0,0.277,0.0
2,6,0.7,0.0,0.393,0.03
2,6,1.0,0.0,0.429,0.005
2,6,1.0,0.0,0.35,0.094
2,6,1.0,0.0,0.243,0.0
2,6,1.0,0.0,0.212,0.076
2,6,1.0,0.0,0.251,0.0
3,6,0.7,0.0,0.439,0.035
3,6,1.0,0.0,0.425,0.0
3,6,0.7,0.0,0.342,0.005
3,6,0.7,0.0,0.306,0.0
3,6,1.0,0.0,0.195,0.024
3,6,1.0,0.0,0.24,0.081
4,6,0.7,0.0,0.421,0.026
4,6,1.0,0.0,0.421,0.075
4,6,1.0,0.0,0.351,0.106
4,6,0.7,0.0,0.31,0.102
4,6,0.7,0.0,0.216,0.0
4,6,0.7,0.0,0.247,0.013
5,6,1.0,0.3,0.406,0.317
5,6,1.0,0.0,0.436,0.006
5,6,1.0,0.0,0.316,0.043
5,6,0.7,0.0,0.288,0.088
5,6,1.0,0.0,0.194,0.0
5,6,0.7,0.0,0.272,0.06
6,6,1.0,0.0,0.401,0.623
6,6,1.0,0.0,0.416,0.534
6,6,1.0,0.0,0.31,0.414
6,6,1.0,0.0,0.269,0.346
6,6,1.0,0.0,0.213,0.328
6,6,1.0,0.0,0.301,0.351
7,6,1.0,0.0,0.446,0.644
7,6,1.0,0.0,0.433,0.753
7,6,0.7,0.0,0.325,0.349
7,6,1.0,0.0,0.247,0.406
7,6,0.7,0.0,0.241,0.197
7,6,1.0,0.0,0.267,0.457
8,6,0.7,0.0,0.401,0.506
8,6,0.7,0.0,0.459,0.718
8,6,1.0,0.0,0.33,0.616
8,6,1.0,0.0,0.279,0.558
8,6,1.0,0.0,0.231,0.429
8,6,1.0,0.0,0.276,0.554
9,6,0.7,0.0,0.371,0.511
9,6,1.0,0.0,0.428,0.689
9,6,1.0,0.0,0.332,0.586
9,6,1.0,0.0,0.289,0.487
9,6,1.0,0.0,0.224,0.357
9,6,1.0,0.0,0.282,0.553
10,6,0.7,0.0,0.409,0.382
10,6,1.0,0.0,0.42,0.548
10,6,0.7,0.0,0.317,0.285
10,6,1.0,0.0,0.257,0.358
10,6,0.7,0.0,0.222,0.187
10,6,1.0,0.0,0.238,0.345
11,6,1.0,0.0,0.417,0.502
11,6,0.7,0.0,0.41,0.344
11,6,1.0,0.0,0.286,0.457
11,6,0.7,0.0,0.229,0.23
11,6,1.0,0.0,0.215,0.327
11,6,1.0,0.0,0.254,0.354
12,6,1.0,0.0,0.414,0.568
12,6,1.0,0.0,0.437,0.6
12,6,0.7,0.0,0.317,0.34
12,6,1.0,0.0,0.29,0.407
12,6,1.0,0.0,0.157,0.34
12,6,1.0,0.0,0.297,0.315
13,6,0.7,0.0,0.398,0.397
13,6,1.0,0.0,0.473,0.704
13,6,0.7,0.0,0.312,0.366
13,6,0.7,0.0,0.259,0.328
13,6,1.0,0.0,0.201,0.236
13,6,0.7,0.0,0.264,0.176
14,6,1.0,0.0,0.395,0.572
14,6,0.7,0.0,0.437,0.466
14,6,0.7,0.0,0.346,0.326
14,6,1.0,0.0,0.287,0.322
14,6,0.7,0.0,0.228,0.3
14,6,1.0,0.0,0.239,0.366
15,6,0.7,0.0,0.433,0.421
15,6,1.0,0.0,0.406,0.658
15,6,1.0,0.0,0.348,0.36
15,6,1.0,0.0,0.266,0.309
15,6,0.7,0.0,0.186,0.215
15,6,1.0,0.0,0.267,0.331
16,6,1.0,0.0,0.416,0.492
16,6,1.0,0.0,0.437,0.461
16,6,1.0,0.0,0.315,0.345
16,6,0.7,0.0,0.286,0.274
16,6,1.0,0.0,0.198,0.234
16,6,1.0,0.0,0.269,0.353
17,6,1.0,0.0,0.405,0.75
17,6,1.0,0.0,0.48,0.76
17,6,0.7,0.0,0.303,0.456
17,6,1.0,0.0,0.298,0.536
17,6,1.0,0.0,0.199,0.352
17,6,1.0,0.0,0.289,0.466
18,6,0.7,0.0,0.418,0.687
18,6,1.0,0.0,0.457,0.981
18,6,1.0,0.0,0.324,0.74
18,6,0.7,0.0,0.264,0.369
18,6,1.0,0.0,0.202,0.447
18,6,1.0,0.0,0.261,0.61
19,6,1.0,0.0,0.419,0.714
19,6,1.0,0.0,0.447,0.717
19,6,1.0,0.0,0.311,0.606
19,6,1.0,0.0,0.278,0.522
19,6,1.0,0.0,0.212,0.311
19,6,0.7,0.0,0.261,0.268
